player_grad_year,player_rivals_rank,player_espn_rank,player_first_name,player_last_name,player_position,player_school,player_state,player_height,player_weight,player_potential_schools
2018,79,NA,Ian,Steere,F,Wesleyan Christian Academy,NCÿ,6'8,250,Creighton
2018,80,93,Dwayne,Cohill,G,Holy Name,OHÿ,6'4,170,List
2018,81,NA,Bryan,Penn-Johnson,C,Wasatch Academy,UTÿ,7'0,215,List
2018,82,NA,Kendric,Davis,G,Sam Houston,TXÿ,5'11,155,TCU
2018,83,NA,Josh,LeBlanc,F,Madison Prep Academy,LAÿ,6'7,215,List
2018,84,98,Montez,Mathis,G,John Carroll,MDÿ,6'4,190,List
2018,85,96,Jamie,Lewis,G,Westlake,GAÿ,6'2,180,NC State
2018,86,60,Jaedon,LeDee,F,Kinkaid,TXÿ,6'9,215,List
2018,87,59,Matthew,Mayer,F,Westlake,TXÿ,6'7,195,Baylor
2018,88,NA,Tyler,Harris,G,Ridgeway,TNÿ,5'10,155,List
2018,89,74,Robby,Carmody,G,Mars,PAÿ,6'4,175,Notre Dame
2018,90,84,A.J.,Green,G,Cedar Falls,IAÿ,6'3,160,List
2018,91,77,Tim,Finke,G,Central,ILÿ,6'7,215,List
2018,92,85,Gabe,Brown,F,Belleville,MIÿ,6'7,180,Michigan State
2018,93,69,Jacobi,Gordon,F,Fallbrook Prep,TXÿ,6'7,180,California
2018,94,NA,Trevion,Williams,C,Henry Ford Academy,MIÿ,6'8,290,Purdue
2018,95,NA,Thomas,Kithier,F,Dakota,MIÿ,6'8,210,Michigan State
2018,96,NA,Eric,Hunter,G,Tindley School,INÿ,6'3,170,List
2018,97,NA,Michael,Devoe,G,Montverde Academy,FLÿ,6'3,170,List
2018,98,90,Nate,Laszewski,F,Mt. Hermon,MAÿ,6'7,190,List
2018,99,NA,Trey,Woodbury,G,Clark,NVÿ,6'4,180,List
2018,100,NA,Saddiq,Bey,F,Sidwell Friends,DC,6'6,185,List
2018,101,NA,Damezi,Anderson,F,Riley,INÿ,6'7,205,Indiana
2018,102,NA,Talen,Horton-Tucker,F,Simeon,ILÿ,6'5,210,List
2018,103,NA,Christian,Bishop,F,Lee's Summit West,MOÿ,6'8,180,Creighton
2018,104,NA,Kaden,Archie,F,Midlothian,TXÿ,6'6,200,List
2018,105,71,Dane,Goodwin,G,Upper Arlington,OHÿ,6'4,170,Notre Dame
2018,106,NA,D.J.,Stewart,G,Riverside,MSÿ,6'4,185,List
2018,107,88,Brock,Cunningham,F,Westlake,TXÿ,6'7,205,List
2018,108,56,Torrence,Watson,G,Whitfield,MOÿ,6'4,175,Ohio State
2018,109,87,Ethan,Henderson,F,Parkview,ARÿ,6'8,185,Arkansas
2018,110,61,Devonaire,Doutrive,G,Birmingham,CAÿ,6'5,180,List
2018,111,NA,Timmy,Allen,F,Red Mountain,AZÿ,6'5,200,List
2018,112,NA,Bryce,Hamilton,G,Pasadena,CAÿ,6'3,170,List
2018,113,NA,Keyshawn,Embery,G,Midwest City,OKÿ,6'2,180,List
2018,114,NA,Mamadou,Doucoure,C,Our Savior New American,NYÿ,6'9,205,Rutgers
2018,115,NA,Elijah,Hardy,G,Bishop O'Dowd,CAÿ,6'2,170,List
2018,116,NA,Jordan,Lathon,G,Grandview,MOÿ,6'4,175,Northwestern
